case_id,image_filename,dice,iou,precision,recall,specificity,hd95_mm,latency_ms,tp_px,fp_px,fn_px,tn_px,error_type,possible_cause
OTU_2D_train_1293,1293.JPG,0.8443,0.7305,0.8297,0.8594,0.978,2.82,1735.5,6249,1283,1022,56982,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_1381,1381.JPG,0.7323,0.5776,0.7602,0.7063,0.972,4.36,1415.3,5161,1628,2146,56601,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_1138,1138.JPG,0.8951,0.8102,0.8426,0.9546,0.9855,0.8,868.9,4707,879,224,59726,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_747,747.JPG,0.6363,0.4665,0.7295,0.5641,0.9435,4.74,1098.4,7866,2916,6078,48676,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_CEUS_30,30.JPG,0.9356,0.8791,0.9927,0.8848,0.9934,2.55,394.4,29172,215,3798,32351,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_CEUS_14,14.JPG,0.8301,0.7095,0.713,0.993,0.914,2.62,1353.1,11527,4639,81,49289,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_352,352.JPG,0.3795,0.2342,0.2342,1.0,0.9651,4.09,1487.0,693,2266,0,62577,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_test_1083,1083.JPG,0.8175,0.6913,0.9747,0.704,0.9988,1.9,1413.7,2851,74,1199,61412,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_764,764.JPG,0.5451,0.3747,0.4465,0.6994,0.9098,6.77,1611.6,4319,5353,1856,54008,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_train_22,22.JPG,0.7601,0.613,0.9299,0.6427,0.9809,5.11,1409.3,11896,897,6612,46131,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_1348,1348.JPG,0.8265,0.7043,0.7054,0.9977,0.957,2.77,1418.9,6119,2555,14,56848,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_738,738.JPG,0.2534,0.1451,0.209,0.3217,0.979,4.65,1713.0,358,1355,755,63068,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_771,771.JPG,0.7712,0.6276,0.6949,0.8663,0.9448,5.05,1382.8,7195,3159,1110,54072,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_CEUS_146,146.JPG,0.9281,0.8659,0.8903,0.9693,0.9758,2.7,1247.8,10695,1318,339,53184,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_819,819.JPG,0.2714,0.157,0.9547,0.1582,0.9994,5.5,1302.0,758,36,4033,60709,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_CEUS_143,143.JPG,0.727,0.5711,0.7371,0.7173,0.9659,3.44,919.7,5528,1972,2179,55857,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_13,13.JPG,0.9061,0.8283,0.8336,0.9924,0.9814,1.92,2496.1,5581,1114,43,58798,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_CEUS_3,3.JPG,0.2388,0.1356,0.1625,0.45,0.8781,7.26,3973.9,1473,7592,1800,54671,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_test_1252,1252.JPG,0.9478,0.9008,0.9115,0.9871,0.9629,1.57,2966.3,18049,1753,235,45499,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_300,300.JPG,0.9586,0.9204,0.9992,0.9211,0.9994,0.85,1983.4,25894,21,2218,37403,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_601,601.JPG,0.7246,0.5681,0.5728,0.9858,0.9539,6.05,1427.4,3813,2844,55,58824,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_1306,1306.JPG,0.8755,0.7786,0.7786,1.0,0.9778,0.98,3272.1,4740,1348,0,59448,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_493,493.JPG,0.774,0.6313,0.9092,0.6738,0.9822,3.38,2369.4,9249,924,4478,50885,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_170,170.JPG,0.7153,0.5568,0.6925,0.7397,0.9785,2.5,1582.6,2972,1320,1046,60198,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_282,282.JPG,0.7108,0.5514,0.7227,0.6993,0.9465,8.41,2165.2,7617,2923,3275,51721,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_1147,1147.JPG,0.8518,0.7418,0.747,0.9907,0.9738,2.44,3539.0,4700,1592,44,59200,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_921,921.JPG,0.7268,0.5709,0.8481,0.6359,0.9961,1.7,2212.3,1373,246,786,63131,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_576,576.JPG,0.3542,0.2152,0.2152,1.0,0.919,11.2,1708.8,1424,5192,0,58920,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_train_1070,1070.JPG,0.8322,0.7126,0.9916,0.7169,0.9988,3.14,1453.1,7834,66,3094,54542,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_CEUS_1,1.JPG,0.6512,0.4828,0.7086,0.6024,0.9621,3.32,1371.7,5232,2152,3453,54699,MODERATE_DEVIATION,Khối u có cấu trúc hình học dị dạng phức tạp
OTU_2D_test_917,917.JPG,0.5373,0.3674,0.9319,0.3775,0.9992,2.62,1610.1,698,51,1151,63636,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_426,426.JPG,0.5702,0.3988,0.5029,0.6584,0.9009,6.6,1120.6,5699,5634,2957,51246,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_train_130,130.JPG,0.9204,0.8526,0.8526,1.0,0.9715,1.49,1396.6,9275,1604,0,54657,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_1097,1097.JPG,0.6494,0.4809,0.9531,0.4925,0.9974,3.67,1302.9,3153,155,3249,58979,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_491,491.JPG,0.7798,0.6391,0.7686,0.7913,0.9896,1.41,1797.9,2169,653,572,62142,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_744,744.JPG,0.6179,0.4471,0.868,0.4797,0.9942,2.5,1432.1,2302,350,2497,60387,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_test_1230,1230.JPG,0.9632,0.929,0.9648,0.9615,0.9927,1.17,1563.9,10814,394,433,53895,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_1146,1146.JPG,0.8744,0.7768,0.7768,1.0,0.9776,1.48,1303.4,4736,1361,0,59439,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_1264,1264.JPG,0.7653,0.6198,0.6198,1.0,0.9691,2.0,1413.2,3145,1929,0,60462,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_1270,1270.JPG,0.9426,0.8913,0.9087,0.9791,0.9642,3.16,543.9,17121,1721,366,46328,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_344,344.JPG,0.8658,0.7634,0.7655,0.9965,0.9597,3.23,747.9,7616,2333,27,55560,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_653,653.JPG,0.4831,0.3185,0.8966,0.3306,0.9821,7.26,1689.5,6932,799,14034,43771,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_test_377,377.JPG,0.0466,0.0238,0.0371,0.0626,0.7851,10.77,1775.6,479,12439,7172,45446,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_584,584.JPG,0.4235,0.2687,0.2689,0.9972,0.8767,6.18,1567.3,2843,7731,8,54954,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_test_102,102.JPG,0.8909,0.8033,0.8357,0.9539,0.9788,1.66,1751.0,6354,1249,307,57626,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_CEUS_22,22.JPG,0.5653,0.394,0.4247,0.8449,0.8675,11.75,3779.8,5743,7780,1054,50959,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_test_162,162.JPG,0.5409,0.3707,0.376,0.9633,0.9592,4.46,1146.5,1573,2610,60,61293,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_train_1423,1423.JPG,0.2735,0.1584,1.0,0.1584,1.0,5.16,1542.5,535,0,2842,62159,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_test_1285,1285.JPG,0.545,0.3746,0.8183,0.4086,0.9981,1.8,689.7,563,125,815,64033,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_634,634.JPG,0.2122,0.1187,0.1335,0.5171,0.9235,10.16,953.1,755,4902,705,59174,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_test_878,878.JPG,0.938,0.8833,0.9614,0.9158,0.9921,1.1,1565.6,10654,428,980,53474,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_CEUS_113,113.JPG,0.6296,0.4594,0.784,0.526,0.9684,5.32,753.1,6178,1702,5567,52089,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_706,706.JPG,0.537,0.367,0.6523,0.4563,0.9655,3.27,1607.0,3713,1979,4424,55420,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_239,239.JPG,0.9588,0.9209,0.9415,0.9767,0.9636,1.7,795.3,23979,1490,571,39496,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_1201,1201.JPG,0.9355,0.8789,0.8789,1.0,0.9745,1.03,1458.2,10245,1412,0,53879,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_1240,1240.JPG,0.8637,0.7601,0.9794,0.7724,0.9972,2.16,1536.6,7426,156,2188,55766,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_161,161.JPG,0.8894,0.8008,0.8008,1.0,0.9848,1.51,1364.0,3763,936,0,60837,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_564,564.JPG,0.8085,0.6786,0.6786,0.9998,0.948,3.47,916.7,6481,3069,1,55985,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_CEUS_27,27.JPG,0.767,0.622,0.622,1.0,0.92,4.84,1077.7,7622,4632,0,53282,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_417,417.JPG,0.8315,0.7117,0.9482,0.7404,0.9986,1.87,364.3,1666,91,584,63195,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_703,703.JPG,0.9347,0.8773,0.8783,0.9987,0.9814,1.02,993.6,7747,1073,10,56706,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_1391,1391.JPG,0.6464,0.4775,0.4832,0.9761,0.9133,11.05,1358.8,4904,5246,120,55266,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_test_1176,1176.JPG,0.7085,0.5486,0.5496,0.9969,0.9527,2.93,1541.2,3576,2931,11,59018,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_343,343.JPG,0.7497,0.5996,0.602,0.9933,0.9536,3.98,1113.9,4297,2841,29,58369,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_CEUS_63,63.JPG,0.7235,0.5668,0.9682,0.5776,0.987,4.9,1387.4,15400,506,11263,38367,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_CEUS_154,154.JPG,0.008,0.004,0.6429,0.004,0.9997,9.11,1347.1,27,15,6681,58813,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_439,439.JPG,0.7968,0.6622,0.8454,0.7534,0.9932,2.69,1254.1,2319,424,759,62034,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_1239,1239.JPG,0.9454,0.8964,0.9356,0.9553,0.9624,0.76,1453.9,22777,1567,1065,40127,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_CEUS_77,77.JPG,0.7251,0.5687,0.8737,0.6197,0.9707,9.3,736.6,10004,1446,6140,47946,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_CEUS_60,60.JPG,0.9226,0.8564,0.8909,0.9566,0.9667,1.61,676.3,13880,1699,629,49328,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_630,630.JPG,0.9343,0.8767,0.8985,0.9731,0.988,1.02,1542.4,6267,708,173,58388,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_434,434.JPG,0.8691,0.7685,0.9378,0.8097,0.9848,4.88,747.2,11708,776,2751,50301,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_1116,1116.JPG,0.9772,0.9554,0.9829,0.9716,0.9967,0.8,1026.6,10328,180,302,54726,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_643,643.JPG,0.8063,0.6755,0.6914,0.9671,0.9671,4.08,771.7,4494,2006,153,58883,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_168,168.JPG,0.4104,0.2582,0.2582,1.0,0.8853,5.55,1270.7,2515,7226,0,55795,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_CEUS_111,111.JPG,0.5324,0.3628,0.6618,0.4454,0.9684,4.0,1362.5,3554,1816,4426,55740,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_CEUS_165,165.JPG,0.7946,0.6592,0.7433,0.8535,0.8792,5.48,1342.8,16264,5616,2792,40864,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_1061,1061.JPG,0.8956,0.8109,0.817,0.9908,0.9871,0.92,1230.0,3563,798,33,61142,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_1006,1006.JPG,0.6021,0.4307,0.46,0.871,0.9793,3.76,971.0,1134,1331,168,62903,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_train_208,208.JPG,0.74,0.5873,0.5987,0.9687,0.9887,2.5,468.0,1083,726,35,63692,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_1249,1249.JPG,0.9432,0.8924,0.8973,0.994,0.9654,1.48,1317.6,15191,1739,92,48514,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_762,762.JPG,0.8987,0.8161,0.9392,0.8616,0.994,2.83,1442.8,5471,354,879,58832,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_279,279.JPG,0.8579,0.7511,0.9112,0.8105,0.9866,2.82,1386.3,7697,750,1800,55289,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_459,459.JPG,0.7909,0.6541,0.7069,0.8975,0.9581,4.59,1377.1,5956,2469,680,56431,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_209,209.JPG,0.4913,0.3257,0.3262,0.9949,0.9101,6.71,1183.8,2734,5647,14,57141,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_train_1266,1266.JPG,0.7633,0.6172,0.6172,1.0,0.9757,2.69,969.6,2467,1530,0,61539,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_561,561.JPG,0.9735,0.9483,0.9798,0.9672,0.982,1.14,1593.0,30049,619,1019,33849,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_380,380.JPG,0.6786,0.5136,0.9979,0.5141,0.9997,3.64,926.2,7788,16,7361,50371,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_373,373.JPG,0.8935,0.8076,0.8329,0.9637,0.9491,3.01,682.1,13155,2639,496,49246,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_1327,1327.JPG,0.9732,0.9479,0.9555,0.9916,0.9919,0.85,1182.0,9673,450,82,55331,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_CEUS_140,140.JPG,0.7646,0.619,0.7099,0.8285,0.955,3.02,1334.7,6376,2605,1320,55235,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_1205,1205.JPG,0.1637,0.0891,0.0891,1.0,0.9445,3.2,1038.2,354,3618,0,61564,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_test_877,877.JPG,0.8695,0.7691,0.9971,0.7708,0.9996,2.33,1155.0,7506,22,2232,55776,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_697,697.JPG,0.9206,0.8529,0.8542,0.9982,0.9767,1.2,1617.1,7862,1342,14,56318,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_1208,1208.JPG,0.9115,0.8374,0.8801,0.9452,0.9681,4.51,1630.2,12303,1676,713,50844,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_CEUS_101,101.JPG,0.8364,0.7188,0.7471,0.95,0.951,6.1,1440.0,8230,2786,433,54087,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_67,67.JPG,0.7535,0.6045,0.6399,0.9161,0.9694,2.15,877.4,3362,1892,308,59974,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_1307,1307.JPG,0.5951,0.4236,0.4273,0.9799,0.9363,4.62,1049.1,2970,3980,61,58525,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_test_1365,1365.JPG,0.8056,0.6745,0.6761,0.9965,0.9762,3.32,655.2,3096,1483,11,60946,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_92,92.JPG,0.955,0.9139,0.9222,0.9902,0.9842,0.67,1488.7,10332,872,102,54230,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_511,511.JPG,0.5589,0.3878,1.0,0.3878,1.0,1.75,1612.1,842,0,1329,63365,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_419,419.JPG,0.796,0.6612,0.7903,0.8019,0.9929,2.7,1156.1,1692,449,418,62977,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_CEUS_157,157.JPG,0.6344,0.4646,0.8738,0.498,0.9855,8.71,1367.6,5478,791,5523,53744,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_CEUS_115,115.JPG,0.7738,0.6311,0.6735,0.9092,0.9541,3.04,704.1,5617,2723,561,56635,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_CEUS_134,134.JPG,0.7246,0.5681,0.6494,0.8195,0.8861,7.43,1614.0,10995,5936,2422,46183,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_1108,1108.JPG,0.1828,0.1006,0.9858,0.1007,0.9999,5.28,1281.6,486,7,4338,60705,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_test_802,802.JPG,0.7453,0.594,0.8447,0.6668,0.9855,5.12,1614.7,4629,851,2313,57743,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_1402,1402.JPG,0.6884,0.5249,0.7777,0.6176,0.9969,1.0,870.6,696,199,431,64210,MODERATE_DEVIATION,Khối u có cấu trúc hình học dị dạng phức tạp
OTU_2D_train_486,486.JPG,0.8126,0.6843,0.6898,0.9886,0.9612,5.73,676.5,5198,2338,60,57940,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_1284,1284.JPG,0.8117,0.6831,0.6934,0.9786,0.9759,2.6,1440.0,3386,1497,74,60579,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_692,692.JPG,0.9009,0.8196,0.8274,0.9886,0.987,1.3,581.4,3830,799,44,60863,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_84,84.JPG,0.8486,0.737,0.7537,0.9707,0.986,1.8,1643.8,2687,878,81,61890,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_train_189,189.JPG,0.9288,0.8671,0.8759,0.9885,0.9857,0.78,744.1,6023,853,70,58590,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
